Location,Year,Planting,Latitude,Longitude,Genetics,id_trial,id_loc,PlantingDate,Mat,Yield_Sim,MaxStage,StartDate,PlantingDate_Sim,DTM_Sim,MatDate_Sim,EndDate,Result
MNH1_2015,2015,2015-05-19,44.07038575,-93.53519625,B_115,38,5,2015-05-19,B_115,11017.657390164775,8.9087408037323,2015-04-19,2015-05-19,152,2015-10-18,2015-11-18,Dead from Total Senescence.
MNH1_2015,2015,2015-05-19,44.07038575,-93.53519625,B_120,39,5,2015-05-19,B_120,10516.087836324305,8.855219872960337,2015-04-19,2015-05-19,152,2015-10-18,2015-11-18,Dead from Total Senescence.
MNH1_2015,2015,2015-05-19,44.07038575,-93.53519625,B_112,40,5,2015-05-19,B_112,11602.009643740756,8.980337796601749,2015-04-19,2015-05-19,152,2015-10-18,2015-11-18,Dead from Total Senescence.
MNH1_2015,2015,2015-05-19,44.07038575,-93.53519625,B_100,41,5,2015-05-19,B_100,11175.705884200352,11,2015-04-19,2015-05-19,145,2015-10-11,2015-11-11,Harvested at Maturity.
MNH1_2015,2015,2015-05-19,44.07038575,-93.53519625,B_103,42,5,2015-05-19,B_103,11420.183775928352,11,2015-04-19,2015-05-19,152,2015-10-18,2015-11-18,Harvested at Maturity.
MNH1_2015,2015,2015-05-19,44.07038575,-93.53519625,B_130,43,5,2015-05-19,B_130,9085.25513742794,8.72571295004126,2015-04-19,2015-05-19,152,2015-10-18,2015-11-18,Dead from Total Senescence.
MOH1_2015,2015,2015-05-04,38.8965375,-92.208004165,B_120,44,6,2015-05-04,B_120,12079.541801058993,11,2015-04-04,2015-05-04,135,2015-09-16,2015-10-16,Harvested at Maturity.
MOH1_2015,2015,2015-05-04,38.8965375,-92.208004165,B_110,45,6,2015-05-04,B_110,11149.604219502433,11,2015-04-04,2015-05-04,126,2015-09-07,2015-10-07,Harvested at Maturity.
MOH1_2015,2015,2015-05-04,38.8965375,-92.208004165,B_115,46,6,2015-05-04,B_115,11668.900098417707,11,2015-04-04,2015-05-04,130,2015-09-11,2015-10-11,Harvested at Maturity.
MOH1_2015,2015,2015-05-04,38.8965375,-92.208004165,B_130,47,6,2015-05-04,B_130,11754.331091347718,11,2015-04-04,2015-05-04,146,2015-09-27,2015-10-27,Harvested at Maturity.
MOH1_2015,2015,2015-05-04,38.8965375,-92.208004165,B_108,48,6,2015-05-04,B_108,11278.942400313224,11,2015-04-04,2015-05-04,124,2015-09-05,2015-10-05,Harvested at Maturity.
MOH1_2015,2015,2015-05-04,38.8965375,-92.208004165,B_112,49,6,2015-05-04,B_112,10980.909819447064,11,2015-04-04,2015-05-04,127,2015-09-08,2015-10-08,Harvested at Maturity.
MOH1_2015,2015,2015-05-04,38.8965375,-92.208004165,B_103,50,6,2015-05-04,B_103,10808.991455873102,11,2015-04-04,2015-05-04,120,2015-09-01,2015-10-01,Harvested at Maturity.
MOH1_2015,2015,2015-05-04,38.8965375,-92.208004165,B_100,51,6,2015-05-04,B_100,10476.190151210383,11,2015-04-04,2015-05-04,118,2015-08-30,2015-09-30,Harvested at Maturity.
MOH1_2015,2015,2015-05-04,38.8965375,-92.208004165,B_105,52,6,2015-05-04,B_105,11086.241421877125,11,2015-04-04,2015-05-04,123,2015-09-04,2015-10-04,Harvested at Maturity.
MOH2_2015,2015,2015-05-05,38.898079165,-92.2079,B_115,53,7,2015-05-05,B_115,11651.889422208707,11,2015-04-05,2015-05-05,129,2015-09-11,2015-10-11,Harvested at Maturity.
MOH2_2015,2015,2015-05-05,38.898079165,-92.2079,B_110,54,7,2015-05-05,B_110,11045.367415853918,11,2015-04-05,2015-05-05,125,2015-09-07,2015-10-07,Harvested at Maturity.
MOH2_2015,2015,2015-05-05,38.898079165,-92.2079,B_120,55,7,2015-05-05,B_120,12051.541080604224,11,2015-04-05,2015-05-05,134,2015-09-16,2015-10-16,Harvested at Maturity.
MOH2_2015,2015,2015-05-05,38.898079165,-92.2079,B_105,56,7,2015-05-05,B_105,10796.345335024584,11,2015-04-05,2015-05-05,121,2015-09-03,2015-10-03,Harvested at Maturity.
MOH2_2015,2015,2015-05-05,38.898079165,-92.2079,B_112,57,7,2015-05-05,B_112,10876.04762413884,11,2015-04-05,2015-05-05,126,2015-09-08,2015-10-08,Harvested at Maturity.
MOH2_2015,2015,2015-05-05,38.898079165,-92.2079,B_108,58,7,2015-05-05,B_108,11067.486172841418,11,2015-04-05,2015-05-05,123,2015-09-05,2015-10-05,Harvested at Maturity.
MOH2_2015,2015,2015-05-05,38.898079165,-92.2079,B_103,59,7,2015-05-05,B_103,10469.639257498646,11,2015-04-05,2015-05-05,120,2015-09-02,2015-10-02,Harvested at Maturity.
MOH2_2015,2015,2015-05-05,38.898079165,-92.2079,B_130,60,7,2015-05-05,B_130,11773.725838493268,11,2015-04-05,2015-05-05,145,2015-09-27,2015-10-27,Harvested at Maturity.
NEH2_2015,2015,2015-04-23,41.0514495,-100.7471915,B_110,61,8,2015-04-23,B_110,9844.38915049487,11,2015-03-23,2015-04-23,152,2015-09-22,2015-10-22,Harvested at Maturity.
NEH2_2015,2015,2015-04-23,41.0514495,-100.7471915,B_108,62,8,2015-04-23,B_108,9602.768222666296,11,2015-03-23,2015-04-23,149,2015-09-19,2015-10-19,Harvested at Maturity.
NEH2_2015,2015,2015-04-23,41.0514495,-100.7471915,B_120,63,8,2015-04-23,B_120,9386.33731811896,11,2015-03-23,2015-04-23,163,2015-10-03,2015-11-03,Harvested at Maturity.
NEH2_2015,2015,2015-04-23,41.0514495,-100.7471915,B_115,64,8,2015-04-23,B_115,9728.19948470903,11,2015-03-23,2015-04-23,157,2015-09-27,2015-10-27,Harvested at Maturity.
NEH2_2015,2015,2015-04-23,41.0514495,-100.7471915,B_103,65,8,2015-04-23,B_103,9631.4556885477,11,2015-03-23,2015-04-23,142,2015-09-12,2015-10-12,Harvested at Maturity.
NEH2_2015,2015,2015-04-23,41.0514495,-100.7471915,B_112,66,8,2015-04-23,B_112,9684.859560398188,11,2015-03-23,2015-04-23,153,2015-09-23,2015-10-23,Harvested at Maturity.
NEH2_2015,2015,2015-04-23,41.0514495,-100.7471915,B_130,67,8,2015-04-23,B_130,9237.59650300946,8.850659365498164,2015-03-23,2015-04-23,153,2015-09-23,2015-10-23,Dead from Total Senescence.
NEH2_2015,2015,2015-04-23,41.0514495,-100.7471915,B_100,68,8,2015-04-23,B_100,9885.912308780378,11,2015-03-23,2015-04-23,139,2015-09-09,2015-10-09,Harvested at Maturity.
NEH2_2015,2015,2015-04-23,41.0514495,-100.7471915,B_105,69,8,2015-04-23,B_105,9659.089783293022,11,2015-03-23,2015-04-23,144,2015-09-14,2015-10-14,Harvested at Maturity.
NEH3_2015,2015,2015-06-10,41.15824525,-101.98729575000002,B_110,70,9,2015-06-10,B_110,7925.777274918382,8.899933515255743,2015-05-10,2015-06-10,128,2015-10-16,2015-11-16,Dead from Total Senescence.
NEH3_2015,2015,2015-06-10,41.15824525,-101.98729575000002,B_115,71,9,2015-06-10,B_115,8035.519879863928,8.874798799859478,2015-05-10,2015-06-10,132,2015-10-20,2015-11-20,Dead from Total Senescence.
NEH3_2015,2015,2015-06-10,41.15824525,-101.98729575000002,B_120,72,9,2015-06-10,B_120,7675.650988910895,8.793419874483156,2015-05-10,2015-06-10,131,2015-10-19,2015-11-19,Dead from Total Senescence.
NEH3_2015,2015,2015-06-10,41.15824525,-101.98729575000002,B_108,73,9,2015-06-10,B_108,7984.651101105052,8.96533667162481,2015-05-10,2015-06-10,129,2015-10-17,2015-11-17,Dead from Total Senescence.
NEH3_2015,2015,2015-06-10,41.15824525,-101.98729575000002,B_103,74,9,2015-06-10,B_103,8052.580773716859,11,2015-05-10,2015-06-10,139,2015-10-27,2015-11-27,Harvested at Maturity.
NEH3_2015,2015,2015-06-10,41.15824525,-101.98729575000002,B_112,75,9,2015-06-10,B_112,7822.091487823687,8.916221887792508,2015-05-10,2015-06-10,131,2015-10-19,2015-11-19,Dead from Total Senescence.
NEH3_2015,2015,2015-06-10,41.15824525,-101.98729575000002,B_130,76,9,2015-06-10,B_130,7911.982793105893,8.693568840614828,2015-05-10,2015-06-10,134,2015-10-22,2015-11-22,Dead from Total Senescence.
NEH3_2015,2015,2015-06-10,41.15824525,-101.98729575000002,B_100,77,9,2015-06-10,B_100,8394.264834769532,11,2015-05-10,2015-06-10,131,2015-10-19,2015-11-19,Harvested at Maturity.
NYH2_2015,2015,2015-05-07,42.7324825,-76.65277775,B_110,78,10,2015-05-07,B_110,12490.091794233442,11,2015-04-07,2015-05-07,174,2015-10-28,2015-11-28,Harvested at Maturity.
NYH2_2015,2015,2015-05-07,42.7324825,-76.65277775,B_100,79,10,2015-05-07,B_100,11982.89421665192,11,2015-04-07,2015-05-07,148,2015-10-02,2015-11-02,Harvested at Maturity.
NYH2_2015,2015,2015-05-07,42.7324825,-76.65277775,B_108,80,10,2015-05-07,B_108,12151.682388856909,11,2015-04-07,2015-05-07,164,2015-10-18,2015-11-18,Harvested at Maturity.
NYH2_2015,2015,2015-05-07,42.7324825,-76.65277775,B_120,81,10,2015-05-07,B_120,11376.458061499989,8.935304713770426,2015-04-07,2015-05-07,166,2015-10-20,2015-11-20,Dead from Total Senescence.
NYH2_2015,2015,2015-05-07,42.7324825,-76.65277775,B_115,82,10,2015-05-07,B_115,12244.715266685083,11,2015-04-07,2015-05-07,184,2015-11-07,2015-12-07,Harvested at Maturity.
NYH2_2015,2015,2015-05-07,42.7324825,-76.65277775,B_103,83,10,2015-05-07,B_103,11870.358406414744,11,2015-04-07,2015-05-07,155,2015-10-09,2015-11-09,Harvested at Maturity.
