Hybrid,Genetics,Mat
BGEM-0239-N/LH195,116.73993005698254,B_115
BGEM-0240-N/LH195,120.0350520343064,B_120
BGEM-0242-N/LH195,105.7436847746476,B_105
BGEM-0246-N/LH195,116.73993005698254,B_115
BGEM-0248-N/LH195,120.0350520343064,B_120
BGEM-0253-N/LH195,116.73993005698254,B_115
BGEM-0256-N/LH195,116.73993005698254,B_115
BGEM-0259-N/LH195,116.73993005698254,B_115
BGEM-0260-N/LH195,105.1943064699301,B_105
BSSSC0_001/DK3IIH6,115.51220765544954,B_115
BSSSC0_002/DK3IIH6,115.51220765544954,B_115
BSSSC0_002/LH82,120.72508967442826,B_120
BSSSC0_002/PHZ51,120.72508967442826,B_120
BSSSC0_003/DK3IIH6,115.51220765544954,B_115
BSSSC0_005/DK3IIH6,115.51220765544954,B_115
BSSSC0_008/DK3IIH6,115.51220765544954,B_115
BSSSC0_008/LH82,110.6578675642857,B_110
BSSSC0_008/PHZ51,110.6578675642857,B_110
BSSSC0_009/DK3IIH6,116.73993005698254,B_115
BSSSC0_010/PHZ51,120.9926360128205,B_120
BSSSC0_012/DK3IIH6,115.51220765544954,B_115
BSSSC0_012/PHZ51,120.9926360128205,B_120
BSSSC0_015/DK3IIH6,115.51220765544954,B_115
BSSSC0_017/DK3IIH6,115.51220765544954,B_115
BSSSC0_019/LH82,108.48405900854699,B_108
BSSSC0_019/PHZ51,108.48405900854699,B_108
BSSSC0_020/DK3IIH6,115.51220765544954,B_115
BSSSC0_020/PHZ51,114.73834751068375,B_115
BSSSC0_021/LH82,114.73834751068375,B_115
BSSSC0_023/LH82,104.42409350377059,B_103
BSSSC0_023/PHZ51,104.42409350377059,B_103
BSSSC0_024/DK3IIH6,115.51220765544954,B_115
BSSSC0_026/DK3IIH6,115.51220765544954,B_115
BSSSC0_028/LH82,120.45754333603601,B_120
BSSSC0_028/PHZ51,120.45754333603601,B_120
BSSSC0_029/DK3IIH6,115.51220765544954,B_115
BSSSC0_029/PHZ51,110.6118769878237,B_110
BSSSC0_031/LH82,108.48405900854699,B_108
BSSSC0_031/PHZ51,104.42409350377059,B_103
BSSSC0_032/LH82,120.45754333603601,B_120
BSSSC0_032/PHZ51,120.45754333603601,B_120
BSSSC0_033/DK3IIH6,120.35787038392854,B_120
BSSSC0_038/DK3IIH6,115.51220765544954,B_115
BSSSC0_038/LH82,109.86390905916245,B_108
BSSSC0_038/PHZ51,109.86390905916245,B_108
BSSSC0_044/LH82,110.6118769878237,B_110
BSSSC0_044/PHZ51,110.6118769878237,B_110
BSSSC0_047/LH82,108.48405900854699,B_108
BSSSC0_047/PHZ51,108.48405900854699,B_108
BSSSC0_048/DK3IIH6,117.1272012473228,B_115
BSSSC0_048/LH82,110.6118769878237,B_110
BSSSC0_048/PHZ51,110.6118769878237,B_110
BSSSC0_052/LH82,120.45754333603601,B_120
BSSSC0_052/PHZ51,120.45754333603601,B_120
BSSSC0_054/DK3IIH6,115.51220765544954,B_115
BSSSC0_057/DK3IIH6,117.1272012473228,B_115
BSSSC0_060/DK3IIH6,115.51220765544954,B_115
CG102/CG60,106.7930126053669,B_105
CG102/DK3IIH6,115.51220765544954,B_115
CG102/LH82,109.86390905916245,B_108
CG102/PHZ51,109.52497270995434,B_108
CG104/CG102,109.3105059820482,B_108
CG104/LH82,109.86390905916245,B_108
CG104/PHB47,110.5658864113617,B_110
CG104/PHZ51,102.05241589654221,B_103
CG105/CG102,109.1619317069632,B_108
CG105/PHB47,109.1619317069632,B_108
CG105/PHZ51,101.01150219513485,B_100
CG106/DK3IIH6,115.51220765544954,B_115
CG106/PHB47,104.42409350377059,B_103
CG106/PHZ51,104.42409350377059,B_103
CG108/CG102,109.86390905916245,B_108
CG108/CG110,102.05241589654221,B_103
CG108/CG111,110.5658864113617,B_110
CG108/CGR01,106.7930126053669,B_105
CG108/CGR03,110.6118769878237,B_110
CG108/LH162,109.1619317069632,B_108
CG108/LH195,108.48405900854699,B_108
CG108/LH82,110.5658864113617,B_110
CG108/PHB47,109.1619317069632,B_108
CG108/PHZ51,93.53894538172271,B_95
CG110/LH82,109.1619317069632,B_108
CG110/PHB47,109.1619317069632,B_108
CG111/PHB47,109.1619317069632,B_108
