Env,Year,Date_Planted,Latitude,Longitude,Genetics
MNH1_2016,2016,2016-05-17,44.06646925,-93.533648,B_115
MNH1_2016,2016,2016-05-17,44.06646925,-93.533648,B_120
MNH1_2016,2016,2016-05-17,44.06646925,-93.533648,B_110
MNH1_2016,2016,2016-05-17,44.06646925,-93.533648,B_105
MNH1_2016,2016,2016-05-17,44.06646925,-93.533648,B_108
MNH1_2016,2016,2016-05-17,44.06646925,-93.533648,B_112
MOH1_2016,2016,2016-05-23,38.8955475,-92.2072025,B_115
MOH1_2016,2016,2016-05-23,38.8955475,-92.2072025,B_120
MOH1_2016,2016,2016-05-23,38.8955475,-92.2072025,B_130
MOH1_2016,2016,2016-05-23,38.8955475,-92.2072025,B_112
MOH1_2016,2016,2016-05-23,38.8955475,-92.2072025,B_110
MOH1_2016,2016,NA,38.8955475,-92.2072025,B_115
MOH1_2016,2016,2016-05-23,38.8955475,-92.2072025,B_108
MOH1_2016,2016,NA,38.8955475,-92.2072025,B_120
MOH1_2016,2016,2016-05-23,38.8955475,-92.2072025,B_105
NYH2_2016,2016,NA,42.726117,-76.655339,B_108
NYH2_2016,2016,2016-05-10,42.726117,-76.655339,B_105
NYH2_2016,2016,2016-05-10,42.726117,-76.655339,B_120
NYH2_2016,2016,2016-05-10,42.726117,-76.655339,B_110
NYH2_2016,2016,2016-05-10,42.726117,-76.655339,B_112
NYH2_2016,2016,2016-05-10,42.726117,-76.655339,B_108
NYH2_2016,2016,2016-05-10,42.726117,-76.655339,B_115
NYH2_2016,2016,NA,42.726117,-76.655339,B_115
NYH2_2016,2016,2016-05-10,42.726117,-76.655339,B_100
NYH2_2016,2016,NA,42.726117,-76.655339,B_120
OHH1_2016,2016,NA,39.860924,-83.6755995,B_115
OHH1_2016,2016,NA,39.860924,-83.6755995,B_120
OHH1_2016,2016,2016-05-27,39.860924,-83.6755995,B_120
OHH1_2016,2016,2016-05-27,39.860924,-83.6755995,B_115
OHH1_2016,2016,2016-05-27,39.860924,-83.6755995,B_110
OHH1_2016,2016,NA,39.860924,-83.6755995,B_112
OHH1_2016,2016,2016-05-27,39.860924,-83.6755995,B_108
OHH1_2016,2016,2016-05-27,39.860924,-83.6755995,B_112
TXH1_2016,2016,2016-03-04,30.54708625,-96.43393475,B_130
TXH1_2016,2016,2016-03-04,30.54708625,-96.43393475,B_120
TXH1_2016,2016,2016-03-04,30.54708625,-96.43393475,B_115
TXH1_2016,2016,2016-03-04,30.54708625,-96.43393475,B_110
TXH1_2016,2016,2016-03-04,30.54708625,-96.43393475,B_112
TXH1_2016,2016,NA,30.54708625,-96.43393475,B_120
WIH1_2016,2016,2016-05-09,43.05632525,-89.53194975000001,B_115
WIH1_2016,2016,2016-05-09,43.05632525,-89.53194975000001,B_112
WIH1_2016,2016,2016-05-09,43.05632525,-89.53194975000001,B_120
WIH1_2016,2016,2016-05-09,43.05632525,-89.53194975000001,B_110
WIH1_2016,2016,2016-05-09,43.05632525,-89.53194975000001,B_100
WIH1_2016,2016,2016-05-09,43.05632525,-89.53194975000001,B_105
WIH1_2016,2016,2016-05-09,43.05632525,-89.53194975000001,B_108
WIH2_2016,2016,2016-05-24,43.32649075,-89.33882925,B_108
WIH2_2016,2016,2016-05-24,43.32649075,-89.33882925,B_120
WIH2_2016,2016,2016-05-24,43.32649075,-89.33882925,B_115
WIH2_2016,2016,2016-05-24,43.32649075,-89.33882925,B_100
WIH2_2016,2016,2016-05-24,43.32649075,-89.33882925,B_110
WIH2_2016,2016,2016-05-24,43.32649075,-89.33882925,B_112
WIH2_2016,2016,2016-05-24,43.32649075,-89.33882925,B_105
WIH2_2016,2016,NA,43.32649075,-89.33882925,B_108
WIH2_2016,2016,NA,43.32649075,-89.33882925,B_105
WIH2_2016,2016,NA,43.32649075,-89.33882925,B_115
COH1_2017,2017,2017-05-31,40.64850025,-104.9997825,B_105
COH1_2017,2017,2017-05-31,40.64850025,-104.9997825,B_103
COH1_2017,2017,2017-05-31,40.64850025,-104.9997825,B_108
COH1_2017,2017,2017-05-31,40.64850025,-104.9997825,B_110
COH1_2017,2017,2017-05-31,40.64850025,-104.9997825,B_120
COH1_2017,2017,2017-05-31,40.64850025,-104.9997825,B_100
COH1_2017,2017,2017-05-31,40.64850025,-104.9997825,B_112
COH1_2017,2017,2017-05-31,40.64850025,-104.9997825,B_130
COH1_2017,2017,2017-05-31,40.64850025,-104.9997825,B_115
COH1_2017,2017,2017-05-31,40.64850025,-104.9997825,B_90
COH1_2017,2017,2017-05-31,40.64850025,-104.9997825,B_95
DEH1_2017,2017,2017-04-28,38.67025825,-75.4333645,B_115
DEH1_2017,2017,2017-04-28,38.67025825,-75.4333645,B_120
DEH1_2017,2017,2017-04-28,38.67025825,-75.4333645,B_110
DEH1_2017,2017,2017-04-28,38.67025825,-75.4333645,B_112
DEH1_2017,2017,2017-04-28,38.67025825,-75.4333645,B_130
DEH1_2017,2017,2017-04-28,38.67025825,-75.4333645,B_108
GAH1_2017,2017,2017-04-04,31.50794425,-83.55854475000001,B_130
